bid_id,bid_number,bid_year,buyer_org,department,product_category,category_family,quantity,bid_type,evaluation_type,bid_start_date,bid_end_date,b_status,b_buyer_status,procurement_class,classification_status,classification_method,classification_confidence,pdf_review_status,bid_document_url,technical_spec_url,atc_url,boq_url,corrigendum_urls,eligibility_urls,catalogue_urls,other_document_urls,documents
1568375,GEM/2020/B/511936,2020,,Education Department Gujarat,Television TV,,2,2,0,2020-02-10 19:48:34+05:30,2020-02-14 20:15:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568375,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1601074""]","[{""document_id"": 16925, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568375"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16926, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1601074"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568381,GEM/2020/B/511941,2020,,Industry and Commerce Department Haryana,OEM Cartridge/ Consumable,,40,2,0,2020-02-03 15:41:41+05:30,2020-02-07 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568381,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1588180""]","[{""document_id"": 16217, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568381"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16218, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1588180"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568391,GEM/2020/B/511951,2020,Ministry of Defence,Department of Defence,Multifunction Machines MFM,,1,2,0,2020-02-06 17:36:00+05:30,2020-02-10 17:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568391,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1595197""]","[{""document_id"": 16535, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568391"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16536, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1595197"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568418,GEM/2020/B/511977,2020,Ministry of Defence,Department of Defence Reseach & Development,Workstation,,1,2,0,2020-02-27 21:57:37+05:30,2020-03-04 21:45:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568418,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1633214""]","[{""document_id"": 18673, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568418"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 18674, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1633214"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568569,GEM/2020/B/512115,2020,Ministry of Home Affairs,Central Armed Police Forces,"convection heaters- room heater, blower",,5,2,0,2020-02-01 16:52:44+05:30,2020-02-05 16:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568569,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1586664""]","[{""document_id"": 16153, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568569"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16154, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1586664"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568597,GEM/2020/B/512142,2020,Ministry of Coal,Materials Management,Medical X Ray Films,,160,2,0,2020-02-19 16:22:18+05:30,2020-02-24 15:30:00+05:30,1,0,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568597,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1617452""]","[{""document_id"": 17729, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568597"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 17730, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1617452"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568647,GEM/2020/B/512189,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,30,2,0,2020-02-04 15:52:45+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568647,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590376""]","[{""document_id"": 16343, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568647"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16344, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590376"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568687,GEM/2020/B/512225,2020,Ministry of Defence,Department of Defence,OEM Cartridge/ Consumable,,34,2,0,2020-02-04 15:58:19+05:30,2020-02-08 15:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568687,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1590402""]","[{""document_id"": 16341, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568687"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16342, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1590402"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568719,GEM/2020/B/512254,2020,Ministry of Health and Family Welfare,Department of Health and Family Welfare,"Server,Layer 3 - Access Switch",,4,2,0,2020-04-15 17:45:13+05:30,2020-04-20 18:15:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568719,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1690845""]","[{""document_id"": 20867, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568719"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 20868, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1690845"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
1568731,GEM/2020/B/512264,2020,,Legislative Assembly Secretariat,OEM Cartridge/ Consumable,,20,2,0,2020-02-05 20:18:42+05:30,2020-02-10 19:30:00+05:30,2,3,UNKNOWN,PENDING,,,NOT_REVIEWED,https://bidplus.gem.gov.in/showbidDocument/1568731,,,,[],[],[],"[""https://bidplus.gem.gov.in/showradocumentPdf/1593594""]","[{""document_id"": 16571, ""document_type"": ""BID"", ""role"": ""BID"", ""source_url"": ""https://bidplus.gem.gov.in/showbidDocument/1568731"", ""local_path"": ""gem_documents/GEM_2020_B_512264/bid_document.pdf"", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}, {""document_id"": 16572, ""document_type"": ""RA"", ""role"": ""RA"", ""source_url"": ""https://bidplus.gem.gov.in/showradocumentPdf/1593594"", ""local_path"": """", ""extraction_status"": ""PENDING"", ""extraction_version"": """"}]"
